month;soil.depth;dist;soil.moist;rep
MY-2018;P3-40;ctrl-S/B;8,393;b
MY-2018;P3-40;ctrl-S/B;9,998;c
MY-2018;P4-50;D0;16,667;a
MY-2018;P4-50;D0;13,5;b
MY-2018;P4-50;D0;12,023;c
MY-2018;P4-50;D1-0.5;10,3;a
MY-2018;P4-50;D1-0.5;12,085;b
MY-2018;P4-50;D1-0.5;10,091;c
MY-2018;P4-50;D2-1.5;12,044;a
MY-2018;P4-50;D2-1.5;11,957;b
MY-2018;P4-50;D2-1.5;8,333;c
MY-2018;P4-50;ctrl-S/B;8,11;a
MY-2018;P4-50;ctrl-S/B;9,45;b
MY-2018;P4-50;ctrl-S/B;9,551;c
JN-2018;P1-20;D0;6,707;a
JN-2018;P1-20;D0;7,899;b
JN-2018;P1-20;D0;6,006;c
JN-2018;P1-20;D1-0.5;5,559;a
JN-2018;P1-20;D1-0.5;4,278;b
JN-2018;P1-20;D1-0.5;6,878;c
JN-2018;P1-20;D2-1.5;8,161;a
JN-2018;P1-20;D2-1.5;9,15;b
JN-2018;P1-20;D2-1.5;9,954;c
JN-2018;P1-20;ctrl-S/B;7,21;a
JN-2018;P1-20;ctrl-S/B;6,34;b
JN-2018;P1-20;ctrl-S/B;5,21;c
JN-2018;P2-30;D0;5,67;a
JN-2018;P2-30;D0;6,373;b
JN-2018;P2-30;D0;9,15;c
JN-2018;P2-30;D1-0.5;5,634;a
JN-2018;P2-30;D1-0.5;5,919;b
JN-2018;P2-30;D1-0.5;4,061;c
JN-2018;P2-30;D2-1.5;7,373;a
JN-2018;P2-30;D2-1.5;9,684;b
JN-2018;P2-30;D2-1.5;6,791;c
JN-2018;P2-30;ctrl-S/B;5,861;a
JN-2018;P2-30;ctrl-S/B;4,09;b
JN-2018;P2-30;ctrl-S/B;4,86;c
JN-2018;P3-40;D0;5,691;a
JN-2018;P3-40;D0;6,82;b
JN-2018;P3-40;D0;4,908;c
JN-2018;P3-40;D1-0.5;5,501;a
JN-2018;P3-40;D1-0.5;5,777;b
JN-2018;P3-40;D1-0.5;7,964;c
JN-2018;P3-40;D2-1.5;5,263;a
JN-2018;P3-40;D2-1.5;8,514;b
JN-2018;P3-40;D2-1.5;6,905;c
JN-2018;P3-40;ctrl-S/B;5,007;a
JN-2018;P3-40;ctrl-S/B;4,99;b
JN-2018;P3-40;ctrl-S/B;5,18;c
JN-2018;P4-50;D0;5,184;a
JN-2018;P4-50;D0;5,259;b
JN-2018;P4-50;D0;6,919;c
JN-2018;P4-50;D1-0.5;6,141;a
JN-2018;P4-50;D1-0.5;5,928;b
JN-2018;P4-50;D1-0.5;6,856;c
JN-2018;P4-50;D2-1.5;7,219;a
JN-2018;P4-50;D2-1.5;6,611;b
JN-2018;P4-50;D2-1.5;7,333;c
JN-2018;P4-50;ctrl-S/B;5,34;a
JN-2018;P4-50;ctrl-S/B;5,432;b
JN-2018;P4-50;ctrl-S/B;6,34;c
JL-2018;P1-20;D0;6,924;a
JL-2018;P1-20;D0;6,089;b
JL-2018;P1-20;D0;4,882;c
JL-2018;P1-20;D1-0.5;6,699;a
JL-2018;P1-20;D1-0.5;5,687;b
JL-2018;P1-20;D1-0.5;8,113;c
JL-2018;P1-20;D2-1.5;5,219;a
JL-2018;P1-20;D2-1.5;4,782;b
JL-2018;P1-20;D2-1.5;6,301;c
JL-2018;P1-20;ctrl-S/B;4,81;a
JL-2018;P1-20;ctrl-S/B;5,012;b
JL-2018;P1-20;ctrl-S/B;5,37;c
JL-2018;P2-30;D0;6,329;a
JL-2018;P2-30;D0;7,398;b
JL-2018;P2-30;D0;7,729;c
JL-2018;P2-30;D1-0.5;5,709;a
JL-2018;P2-30;D1-0.5;6,724;b
JL-2018;P2-30;D1-0.5;7,13;c
JL-2018;P2-30;D2-1.5;5,3;a
JL-2018;P2-30;D2-1.5;5,38;b
JL-2018;P2-30;D2-1.5;8,981;c
JL-2018;P2-30;ctrl-S/B;4,44;a
JL-2018;P2-30;ctrl-S/B;5,44;b
JL-2018;P2-30;ctrl-S/B;4,002;c
JL-2018;P3-40;D0;5,217;a
JL-2018;P3-40;D0;7,08;b
JL-2018;P3-40;D0;8,333;c
